,sadness,enthusiasm,worry,surprise,fun,hate,love,happiness,relief,boredom,anger,neutral,empty
sadness,0.816413198945465,0.8359779314961153,0.8569261248009293,0.8353304131849408,0.8506235873156216,0.8448010027143898,0.8432820762937853,0.8246888389227831,0.8417534380730782,0.8429965699299273,0.8173233682718443,0.8370723382250832,0.8297692630877228
enthusiasm,0.8266521183440825,0.8386322243763191,0.8251214067704737,0.8420551837850572,0.8435704303046181,0.8292409848578848,0.8341155714467959,0.820402366047809,0.8225549797592574,0.8361086733577946,0.8371746972547718,0.8350440085395353,0.8351751285716158
worry,0.8389074921861774,0.8299971987417134,0.8470682578806479,0.8343453857796581,0.8561559766512504,0.8499799122277816,0.8439852640478265,0.8478851003577874,0.8387775442662473,0.8420978805731874,0.8230867693879368,0.8404317387820587,0.8563290827620249
surprise,0.8445569316149317,0.8304634806523754,0.8480423845293406,0.8368819921752926,0.8367911022540122,0.8383933108729773,0.8355263329309424,0.8300930190969651,0.8340436791324644,0.8523655643290031,0.8358904230752592,0.8273642211099005,0.8253488236126783
fun,0.8414342529251262,0.8273157604517951,0.8441895385812817,0.8194835599127739,0.8382437228325011,0.835574333204691,0.8281314191756215,0.8337236937375545,0.8347582329008308,0.8351504535418546,0.832754159049726,0.8260238656932128,0.8328117552987143
hate,0.8410680662240027,0.8431189617235084,0.8328007947462197,0.8331016332849795,0.8342179560148801,0.8383841485646552,0.8525059392972502,0.8404372138541908,0.8488860455803391,0.8429347261110943,0.8249580828598285,0.8319135397743749,0.8230168523655339
love,0.8223416027671882,0.8385455135599347,0.7947330228136897,0.8237586665642784,0.8427129871517451,0.819712800440985,0.8486022155941508,0.8115287978492747,0.8224393221242154,0.8419600399011948,0.8198043833196968,0.8169393665109617,0.8189026013386228
happiness,0.8161056729207866,0.8141430255459053,0.8134789824879837,0.8172285948124232,0.7932746519635556,0.8122879788483243,0.8308238709586356,0.8206054030376833,0.8318592552362998,0.8205775349969693,0.8306898555588238,0.8370738791152631,0.8016328554181985
relief,0.8281479091647188,0.8255175189833199,0.8266143977729536,0.8360298437085483,0.8406067891509906,0.8310141730590338,0.8338159756426049,0.831988873833852,0.8419884752201179,0.827414300577397,0.8349155515647156,0.8438351489480785,0.8234972605359606
boredom,0.8372413196306729,0.8378769438636047,0.8420354300114647,0.8402621106050361,0.8493487105444917,0.8562129793489828,0.830796125694631,0.8500495807650652,0.8296612884381376,0.8321286535605557,0.8262840104969513,0.8519019600274781,0.8433273762291589
anger,0.8276048701854993,0.8283145093105877,0.8225837683894521,0.8290739757474346,0.8498677137387587,0.8187061824239983,0.8296300194394522,0.8190776972822923,0.8260286772644796,0.8362034784141441,0.841951724246092,0.8387447725759983,0.8384261147462492
neutral,0.8553259007369685,0.8439109012979151,0.8329891513881031,0.8529115031260697,0.8341985492570194,0.8289068099442247,0.8408279360933419,0.8385139667814832,0.8443015745588536,0.831253074724934,0.8262777523639229,0.826648973215724,0.8313371752662537
empty,0.8378617101830652,0.8514551200387461,0.8412602006119854,0.8380019541111725,0.8508013210758869,0.8469450151457492,0.8521554339166499,0.8406408853367531,0.8312046494779325,0.8405494730939924,0.8404280282149439,0.8421662877390168,0.8657729706246801
